Response ID,AGE,SEX,EDUCATION,TOTAL IUIPC (70),VUR (out of 8) ,Answers,Likert
222,32,Male,Bachelorês degree,61,3,8,4
825,29,Female,"Some college credit,  or Associate's degree",58,4,8,4
1782,28,Female,Bachelorês degree,58,1,8,3.75
799,40,Female,Bachelorês degree,62,4,7,3.625
2207,40,Male,Master's degree,70,6,8,4.75
903,19,Male,"Some college credit,  or Associate's degree",47,2,8,3.25
2106,47,Male,Master's degree,62,3,8,4.125
1325,29,Male,Bachelorês degree,52,4,8,4.125
412,24,Male,"Some college credit,  or Associate's degree",54,4,7,3.875
1232,63,Male,"Some college credit,  or Associate's degree",68,6,8,4.75
1245,24,Male,Bachelorês degree,63,6,8,4.5
2383,25,Male,Master's degree,52,3,8,3.375
1037,29,Other,"Some college credit,  or Associate's degree",54,3,8,4.25
367,25,Male,"Some college credit,  or Associate's degree",69,7,8,4.625
1103,62,Male,Bachelorês degree,66,5,8,3.875
1397,34,Male,"Some college credit,  or Associate's degree",60,5,8,4
1539,28,Female,Bachelorês degree,64,5,8,3.75
1738,54,Male,"Some college credit,  or Associate's degree",62,5,8,4.625
1385,48,Male,"Some college credit,  or Associate's degree",55,5,8,4.25
1507,25,Male,"Some college credit,  or Associate's degree",60,7,8,4.625
2388,55,Female,"Some college credit,  or Associate's degree",69,7,8,4.875
1129,33,Male,Bachelorês degree,63,4,8,3.875
1105,29,Male,"High school graduate, diploma or the equivalent (for example: GED)",44,4,6,3.25
1990,50,Female,"Some college credit,  or Associate's degree",66,2,8,3.125
1280,49,Male,Bachelorês degree,54,5,5,3.125
2200,52,Female,"Some college credit,  or Associate's degree",69,5,7,3.75
1907,51,Female,"Some college credit,  or Associate's degree",66,8,8,5
722,30,Male,"Some college credit,  or Associate's degree",68,6,8,4.75
362,47,Female,"Some college credit,  or Associate's degree",61,1,8,3.625
1097,29,Male,"Some college credit,  or Associate's degree",44,0,8,2.125
607,27,Female,Bachelorês degree,69,7,8,4.75
324,24,Female,"Some college credit,  or Associate's degree",64,7,8,4.5
2013,55,Female,"High school graduate, diploma or the equivalent (for example: GED)",60,8,8,5
1992,23,Female,"Some college credit,  or Associate's degree",64,8,8,5
52,40,Female,"High school graduate, diploma or the equivalent (for example: GED)",66,5,8,3.75
2071,29,Female,Bachelorês degree,65,6,8,4.625
1597,40,Female,Bachelorês degree,68,6,8,4.625
174,31,Female,Bachelorês degree,57,5,8,4.5
865,27,Female,Bachelorês degree,56,4,8,4.125
1383,52,Female,"Some college credit,  or Associate's degree",62,6,8,4.625
389,26,Female,Master's degree,67,4,8,4
1165,55,Male,Bachelorês degree,58,4,8,4.375
1943,59,Male,"Some college credit,  or Associate's degree",63,2,8,3.125
483,28,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,8,8,5
2113,34,Male,Bachelorês degree,63,7,7,4.375
387,37,Female,"High school graduate, diploma or the equivalent (for example: GED)",52,3,8,4
1763,31,Male,Bachelorês degree,58,5,8,4.25
1628,28,Female,"High school graduate, diploma or the equivalent (for example: GED)",57,5,8,3.75
396,25,Male,Master's degree,66,6,8,4.625
649,27,Male,"Some college credit,  or Associate's degree",67,8,8,5
409,29,Male,"Some college credit,  or Associate's degree",63,7,8,4.75
1477,35,Female,Bachelorês degree,65,3,8,3.5
1122,22,Female,"Some college credit,  or Associate's degree",65,7,8,4.75
1543,23,Male,"Some college credit,  or Associate's degree",33,1,8,2.625
1476,29,Male,Master's degree,57,7,8,4.75
1520,26,Female,Bachelorês degree,46,5,8,4.5
1441,20,Female,"Some college credit,  or Associate's degree",63,6,8,4.5
1693,22,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",53,5,8,4
620,26,Male,Master's degree,51,3,8,4.125
1381,30,Male,Bachelorês degree,70,7,8,4.75
2167,35,Female,Bachelorês degree,59,4,7,4
1567,24,Female,"Some college credit,  or Associate's degree",51,7,8,4.5
781,31,Male,Bachelorês degree,59,8,8,5
1099,40,Male,Bachelorês degree,50,3,8,3.875
873,20,Female,"Some college credit,  or Associate's degree",69,6,8,4.75
445,22,Female,Bachelorês degree,50,7,8,4.5
701,23,Male,Bachelorês degree,53,3,7,3.25
305,27,Female,Bachelorês degree,29,1,8,3.25
360,21,Female,"High school graduate, diploma or the equivalent (for example: GED)",51,8,8,5
952,24,Male,"Some college credit,  or Associate's degree",59,7,8,4.875
1033,28,Female,Bachelorês degree,46,2,7,3.125
255,29,Female,"Some college credit,  or Associate's degree",36,0,8,3.25
2352,26,Female,Bachelorês degree,61,7,8,4.625
653,22,Male,"Some college credit,  or Associate's degree",58,2,8,3.625
1593,33,Female,"Some college credit,  or Associate's degree",59,4,8,3.75
1090,23,Female,"Some college credit,  or Associate's degree",57,7,8,4.875
1634,27,Male,Bachelorês degree,65,8,8,5
1161,22,Female,"Some college credit,  or Associate's degree",63,7,8,4.5
1982,22,Male,Bachelorês degree,51,6,8,4.75
331,23,Male,"Some college credit,  or Associate's degree",57,5,8,3.875
1889,38,Male,Bachelorês degree,63,6,8,4.75
1561,25,Male,"Some college credit,  or Associate's degree",51,5,8,4.375
268,26,Male,Bachelorês degree,56,6,8,4.125
500,25,Male,Bachelorês degree,66,5,8,4.25
1231,21,Female,"Some college credit,  or Associate's degree",53,2,8,3.375
768,25,Male,Bachelorês degree,58,5,7,3.75
1643,23,Male,Bachelorês degree,61,6,8,4.25
2035,39,Male,Bachelorês degree,58,3,8,3.75
2149,44,Female,Bachelorês degree,57,5,8,4.5
1719,31,Female,Bachelorês degree,69,6,8,4.75
1767,41,Male,Bachelorês degree,60,3,8,3.625
2299,35,Female,Bachelorês degree,63,2,8,3.5
2086,71,Male,Master's degree,57,6,8,4.5
1591,28,Female,"Some college credit,  or Associate's degree",60,7,8,4.75
459,30,Male,Bachelorês degree,51,4,8,3.625
165,40,Male,Bachelorês degree,70,8,8,5
2051,43,Male,"Some college credit,  or Associate's degree",63,8,8,5
107,27,Male,Bachelorês degree,56,3,8,3.75
127,37,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",63,3,8,3.625
2023,25,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,8,8,5
534,52,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,7,8,4.75
2276,32,Female,"High school graduate, diploma or the equivalent (for example: GED)",59,5,7,3.75
1514,34,Female,Bachelorês degree,59,6,8,4.75
2139,29,Male,"Some college credit,  or Associate's degree",68,8,8,5
561,54,Female,"Some college credit,  or Associate's degree",60,7,8,4.875
1981,32,Male,"Some college credit,  or Associate's degree",67,7,8,4.875
763,36,Female,Master's degree,70,5,8,4.5
733,52,Female,Bachelorês degree,65,4,7,4
711,31,Male,"Some college credit,  or Associate's degree",62,6,8,4.75
970,42,Female,"Some college credit,  or Associate's degree",66,6,8,4.75
1024,25,Female,Bachelorês degree,57,4,8,3.75
977,31,Male,"Some college credit,  or Associate's degree",49,0,8,2.875
577,22,Male,"Some college credit,  or Associate's degree",53,3,8,3.125
2019,24,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,8,8,5
1505,27,Male,Bachelorês degree,68,6,8,4.625
836,34,Female,"Some college credit,  or Associate's degree",69,6,8,4.5
64,32,Male,Bachelorês degree,58,5,8,4.375
96,26,Female,Bachelorês degree,52,3,8,3.5
1610,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",61,4,8,4.5
1621,44,Male,"Some college credit,  or Associate's degree",66,5,7,4.125
1466,51,Female,"High school graduate, diploma or the equivalent (for example: GED)",70,4,8,4
2203,35,Female,"Some college credit,  or Associate's degree",66,2,8,4
1389,68,Female,Bachelorês degree,69,7,8,4.875
1843,39,Male,"Some high school, no diploma",66,3,8,3.25
633,28,Male,Bachelorês degree,51,1,8,3.375
265,24,Male,Master's degree,50,4,8,3.625
2066,49,Male,Bachelorês degree,66,6,8,4.75
2269,32,Male,"Some college credit,  or Associate's degree",47,5,8,4
371,22,Female,"Some college credit,  or Associate's degree",68,6,8,4.75
2140,39,Female,Master's degree,57,0,8,2.375
1702,21,Male,"Some college credit,  or Associate's degree",49,4,8,3.625
1039,28,Male,Bachelorês degree,67,5,8,3.875
151,60,Male,Bachelorês degree,60,8,8,5
1395,37,Female,Master's degree,65,8,8,5
346,33,Male,"Some college credit,  or Associate's degree",64,1,8,3.5
2072,29,Female,Master's degree,54,3,7,3.625
1928,26,Male,Bachelorês degree,67,6,8,4.375
1655,20,Male,"High school graduate, diploma or the equivalent (for example: GED)",63,4,8,4.375
513,35,Male,Bachelorês degree,63,2,7,3.25
1127,47,Female,Bachelorês degree,70,8,8,5
1339,60,Female,"Some college credit,  or Associate's degree",52,5,8,3.5
2365,44,Male,"High school graduate, diploma or the equivalent (for example: GED)",48,3,8,3.25
1462,38,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",65,2,8,4
833,20,Female,"Some college credit,  or Associate's degree",70,8,8,5
2301,32,Female,"High school graduate, diploma or the equivalent (for example: GED)",65,8,8,5
2116,24,Male,Bachelorês degree,42,0,7,2.75
1007,26,Male,Bachelorês degree,58,4,8,3.875
1357,26,Male,Bachelorês degree,55,4,8,4.375
423,20,Male,"Some college credit,  or Associate's degree",56,8,8,5
1485,23,Female,Bachelorês degree,65,2,8,3.625
2189,29,Male,Bachelorês degree,70,8,8,5
596,21,Male,Bachelorês degree,55,5,8,4.5
212,25,,Bachelorês degree,47,7,8,4.75
488,36,Female,"Some college credit,  or Associate's degree",55,4,8,3.875
1026,22,Male,Bachelorês degree,62,8,8,5
897,25,Female,Master's degree,63,3,8,3.625
87,25,Male,Bachelorês degree,59,4,8,4.125
1298,23,Male,Bachelorês degree,50,3,8,3.875
399,22,Male,Bachelorês degree,49,4,8,3.875
1202,42,Female,Bachelorês degree,42,7,8,4.5
1500,28,Female,"Some college credit,  or Associate's degree",54,5,8,4.25
2286,30,Male,"Some college credit,  or Associate's degree",58,3,8,3.75
1624,44,Male,"Some college credit,  or Associate's degree",67,7,8,4.625
93,23,Male,"Some college credit,  or Associate's degree",65,6,8,4.625
376,24,Male,"Some college credit,  or Associate's degree",46,0,8,2.125
738,26,Female,Bachelorês degree,66,4,7,3.75
468,47,Male,"Some college credit,  or Associate's degree",69,8,8,5
749,34,Male,"Some college credit,  or Associate's degree",68,1,8,4
2151,23,Male,Bachelorês degree,62,0,8,3.25
1813,23,Female,Bachelorês degree,54,5,8,4.125
567,48,Female,Bachelorês degree,57,4,8,4.125
306,30,Female,"Some college credit,  or Associate's degree",70,7,8,4.5
1941,29,Female,Bachelorês degree,66,4,8,3.625
358,32,Female,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",64,5,7,4
1170,23,Female,"High school graduate, diploma or the equivalent (for example: GED)",70,6,8,4.25
2061,27,Male,Bachelorês degree,70,7,8,4.5
1800,28,Female,Bachelorês degree,61,6,7,4.25
1013,24,Male,Master's degree,70,5,8,4.125
1993,22,Female,Bachelorês degree,69,6,8,4.625
1750,36,Female,"Some college credit,  or Associate's degree",67,6,8,4.5
366,42,Male,"Some college credit,  or Associate's degree",70,6,8,4.25
920,28,Female,Bachelorês degree,58,4,8,4
818,20,Female,"Some college credit,  or Associate's degree",64,3,6,3.25
834,35,Male,"Some college credit,  or Associate's degree",49,3,8,3.5
1050,35,Female,"High school graduate, diploma or the equivalent (for example: GED)",65,7,8,4.75
726,27,Female,"High school graduate, diploma or the equivalent (for example: GED)",62,4,8,4.5
2275,51,Male,"Some college credit,  or Associate's degree",68,6,8,4.375
2348,31,Male,"Some college credit,  or Associate's degree",61,8,8,5
432,24,Female,Bachelorês degree,63,3,7,2.875
1391,34,Male,Master's degree,50,0,8,2.25
527,27,Male,"Some college credit,  or Associate's degree",60,3,8,4
1715,51,Male,"High school graduate, diploma or the equivalent (for example: GED)",62,4,8,4
1250,34,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",57,3,8,4
824,25,Female,"Some high school, no diploma",58,4,8,3.625
317,23,Male,"Some college credit,  or Associate's degree",38,2,8,2.5
2310,25,Male,"Some college credit,  or Associate's degree",69,0,7,2.75
333,31,Male,"Some college credit,  or Associate's degree",69,4,7,3.625
938,32,Female,Bachelorês degree,60,5,8,4.125
378,26,Male,"Some college credit,  or Associate's degree",70,6,8,4.75
2155,26,Male,"Some college credit,  or Associate's degree",60,5,8,3.75
503,30,Male,Bachelorês degree,64,5,7,4
2328,23,Male,"Some college credit,  or Associate's degree",60,5,8,4.375
27,51,Male,"Some high school, no diploma",61,6,8,4.5
1789,36,Female,"Some college credit,  or Associate's degree",70,6,8,4.375
698,31,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,5,8,3.5
348,25,Male,"Some college credit,  or Associate's degree",60,6,8,4.125
40,43,Male,"Some college credit,  or Associate's degree",69,6,8,4.75
2242,56,Male,Master's degree,69,5,8,4
2081,30,Male,"High school graduate, diploma or the equivalent (for example: GED)",65,7,8,4.5
1865,28,Male,Bachelorês degree,64,4,8,3.875
1918,31,Female,Bachelorês degree,64,2,8,3.875
1098,28,Male,Bachelorês degree,65,4,8,4.25
2038,27,Male,"Some college credit,  or Associate's degree",55,7,8,4.875
1859,31,,Master's degree,29,2,8,2.875
2164,46,Female,Bachelorês degree,70,7,8,4.875
1028,24,Male,Bachelorês degree,55,4,8,3.875
1834,28,Male,Bachelorês degree,64,4,8,4.25
2187,67,Female,Bachelorês degree,64,6,7,4
1653,27,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",61,7,8,4.875
757,27,Male,"Some college credit,  or Associate's degree",43,6,8,4.375
772,21,Male,"Some college credit,  or Associate's degree",67,8,8,5
2214,32,Female,Bachelorês degree,69,8,8,5
797,66,Male,Master's degree,68,6,8,4.75
274,23,Female,"High school graduate, diploma or the equivalent (for example: GED)",67,7,8,4.875
2245,69,Female,Master's degree,67,5,8,4.375
1555,50,Male,"Some college credit,  or Associate's degree",70,8,8,5
369,27,Male,"Some college credit,  or Associate's degree",70,6,8,4.75
2197,28,Female,"Some college credit,  or Associate's degree",59,7,8,4.5
449,26,Male,"Some college credit,  or Associate's degree",64,7,8,4.875
90,32,Male,"Some college credit,  or Associate's degree",54,2,7,3.25
1308,23,Male,"Some college credit,  or Associate's degree",66,3,8,3.375
525,28,Male,Bachelorês degree,61,5,8,4.5
1201,23,Male,Bachelorês degree,63,4,8,4.5
2241,34,Male,"Some college credit,  or Associate's degree",55,7,8,4.875
1309,29,Male,"Some college credit,  or Associate's degree",68,4,8,3.75
18,24,Female,Bachelorês degree,64,5,8,4.5
1948,24,Male,Master's degree,53,5,8,4.375
1609,24,Male,Bachelorês degree,62,5,8,4
1347,31,Male,"Some college credit,  or Associate's degree",58,3,8,3.25
1796,32,Female,Master's degree,68,8,8,5
1463,23,Male,"Some college credit,  or Associate's degree",57,2,8,3.25
2109,27,Female,"Some college credit,  or Associate's degree",65,5,8,4.25
1584,20,Male,"High school graduate, diploma or the equivalent (for example: GED)",48,4,7,3.875
2249,25,Female,Bachelorês degree,70,2,8,3.5
234,22,Male,"High school graduate, diploma or the equivalent (for example: GED)",70,2,8,3.75
1020,23,Male,"High school graduate, diploma or the equivalent (for example: GED)",65,5,8,4
1070,29,Male,Bachelorês degree,60,4,8,4.125
584,24,Female,"Some college credit,  or Associate's degree",67,5,7,4.125
462,25,Male,Bachelorês degree,48,0,8,3.25
475,63,Male,Master's degree,57,3,8,3.5
1364,19,Male,"Some college credit,  or Associate's degree",60,4,8,3.625
30,52,Female,Bachelorês degree,70,8,8,5
1076,32,,Bachelorês degree,57,1,8,3.25
1268,37,Male,Bachelorês degree,49,4,8,4.125
1281,22,Female,Bachelorês degree,63,7,8,4.875
1234,23,Female,"Some college credit,  or Associate's degree",68,7,8,4.5
418,27,Male,"Some college credit,  or Associate's degree",62,4,8,3.75
1947,28,Female,Bachelorês degree,59,6,8,4.75
1818,31,Female,Bachelorês degree,55,5,8,4.375
1429,35,Male,"Some college credit,  or Associate's degree",60,5,8,4.25
1996,28,Male,"Some college credit,  or Associate's degree",69,6,8,4.625
587,18,Male,"High school graduate, diploma or the equivalent (for example: GED)",66,7,8,4.75
1616,64,Female,Bachelorês degree,70,7,8,4.75
1989,35,Female,Master's degree,57,3,7,3.25
2119,38,Male,"Some college credit,  or Associate's degree",66,5,7,3.5
1867,28,Male,Master's degree,49,2,8,3
1984,30,Female,Bachelorês degree,59,1,8,3.25
1119,28,Male,Bachelorês degree,68,4,8,4.125
1193,24,Male,Bachelorês degree,50,4,8,4.25
198,22,Male,"Some college credit,  or Associate's degree",50,2,8,3.375
1784,23,Male,"Some college credit,  or Associate's degree",69,8,8,5
1585,21,Female,"Some college credit,  or Associate's degree",47,3,8,4
1236,21,Female,"Some college credit,  or Associate's degree",67,5,8,4.25
1874,34,Male,Bachelorês degree,64,3,8,3.25
2152,36,Male,Bachelorês degree,57,5,8,4.5
284,32,Male,Bachelorês degree,53,4,8,4.25
223,35,Male,"High school graduate, diploma or the equivalent (for example: GED)",41,4,8,3.5
407,42,Female,"Some college credit,  or Associate's degree",44,4,8,3.75
1612,33,Male,"High school graduate, diploma or the equivalent (for example: GED)",64,8,8,5
2278,35,Male,"Some college credit,  or Associate's degree",67,8,8,5
308,39,Male,"Some college credit,  or Associate's degree",66,5,8,4.625
1330,34,Female,"Some college credit,  or Associate's degree",66,8,8,5
1579,21,Female,"Some college credit,  or Associate's degree",70,6,8,4.75
1652,51,Female,Bachelorês degree,63,6,8,4.75
885,36,Female,Bachelorês degree,64,4,8,4.25
1589,35,Female,Bachelorês degree,60,1,7,2.5
2101,23,Male,"Some college credit,  or Associate's degree",58,5,8,4.25
557,59,Male,"Some college credit,  or Associate's degree",69,3,8,3.375
563,46,Female,"Some college credit,  or Associate's degree",63,8,8,5
1606,22,Male,"High school graduate, diploma or the equivalent (for example: GED)",60,5,8,3.875
2380,31,Male,Master's degree,59,4,8,4.125
1108,35,Female,"Some college credit,  or Associate's degree",48,5,8,3.625
1116,52,Female,Master's degree,53,6,8,4.25
771,21,Male,"Some college credit,  or Associate's degree",48,7,8,4.875
2111,35,Female,Master's degree,66,4,7,3.5
2021,28,Female,"Some college credit,  or Associate's degree",70,7,8,4.875
720,45,Male,Bachelorês degree,62,0,8,3.125
451,31,Male,Bachelorês degree,62,5,8,3.625
1139,53,Female,Bachelorês degree,70,7,8,4.75
2361,34,Female,Bachelorês degree,68,6,8,4.75
1267,50,Female,Master's degree,62,3,8,3.875
98,33,Male,"Some high school, no diploma",66,4,8,4.25
230,54,Male,"Some college credit,  or Associate's degree",61,8,8,5
917,32,Male,Master's degree,64,5,8,4.125
1686,32,Female,"High school graduate, diploma or the equivalent (for example: GED)",61,3,8,3.5
1135,26,Male,Master's degree,70,8,8,5
2125,24,Male,Bachelorês degree,63,4,8,3.375
1792,39,Male,"Some college credit,  or Associate's degree",46,4,7,3.75
2308,26,Female,Bachelorês degree,61,5,8,4.25
187,56,Female,"Some college credit,  or Associate's degree",65,4,8,4
1378,25,Male,"High school graduate, diploma or the equivalent (for example: GED)",50,1,8,4
1425,29,Female,Bachelorês degree,58,4,8,4.375
392,45,Female,Master's degree,59,3,8,3.75
1563,32,Female,"Some college credit,  or Associate's degree",51,6,8,4.375
860,29,Male,Bachelorês degree,59,6,8,4.75
662,30,Male,,64,4,7,3.625
573,22,Male,"Some college credit,  or Associate's degree",69,6,8,4.375
760,40,Male,Master's degree,70,8,8,5
1674,24,Female,"High school graduate, diploma or the equivalent (for example: GED)",41,0,8,3
823,22,Female,"Some college credit,  or Associate's degree",62,8,8,5
1802,22,Male,Bachelorês degree,52,3,8,2.5
984,21,Male,"Some college credit,  or Associate's degree",57,5,7,3.375
730,26,Female,Bachelorês degree,39,1,8,3.875
347,20,Female,"Some college credit,  or Associate's degree",62,4,8,4.5
2085,40,Male,Bachelorês degree,39,0,8,2
354,27,Female,"Some college credit,  or Associate's degree",66,6,8,4.625
1881,29,Female,Master's degree,67,4,8,4.125
1704,27,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",42,6,7,3.875
1341,38,Female,"Some college credit,  or Associate's degree",40,4,8,3.375
1801,26,Male,Bachelorês degree,49,5,8,4
273,33,Female,Bachelorês degree,69,1,8,2.375
22,26,Female,Master's degree,37,3,7,2.875
2222,21,Female,"Some college credit,  or Associate's degree",53,5,8,3.5
1373,34,Female,"Some college credit,  or Associate's degree",53,2,8,2.875
751,23,Male,Bachelorês degree,41,6,8,4.75
1853,28,Female,"Some college credit,  or Associate's degree",49,4,8,3.625
1200,24,Male,Bachelorês degree,46,7,7,4.375
1302,25,Male,Bachelorês degree,66,7,8,4.875
694,32,Male,"Some college credit,  or Associate's degree",64,5,8,4.5
342,29,Male,Bachelorês degree,64,5,8,4.5
550,30,Male,Bachelorês degree,46,4,8,4
1913,33,Female,"Some college credit,  or Associate's degree",62,1,8,3.75
1213,24,Male,"Some college credit,  or Associate's degree",70,5,8,3.875
2298,26,Male,"High school graduate, diploma or the equivalent (for example: GED)",57,2,8,3.625
748,43,Male,Bachelorês degree,68,6,8,4.375
1423,22,Female,"Some college credit,  or Associate's degree",55,3,8,4.125
1759,22,Other,Bachelorês degree,60,3,8,4
583,25,Female,"Some college credit,  or Associate's degree",49,5,8,3.875
1260,25,Female,Master's degree,54,4,8,4.125
2353,27,Male,"Some college credit,  or Associate's degree",64,6,7,4.25
446,28,Female,Bachelorês degree,65,7,7,4.375
976,32,Male,Bachelorês degree,47,0,8,2.75
2050,20,Male,"High school graduate, diploma or the equivalent (for example: GED)",67,6,7,4.125
1337,30,Male,"Some college credit,  or Associate's degree",56,0,8,3.25
329,24,Female,"Some college credit,  or Associate's degree",64,4,7,3.375
922,38,Male,Bachelorês degree,52,2,8,4
37,34,Female,"Some college credit,  or Associate's degree",55,5,8,4.5
615,28,Male,"High school graduate, diploma or the equivalent (for example: GED)",58,5,8,4
907,37,Female,Bachelorês degree,55,5,8,4.125
1283,29,Female,"Some college credit,  or Associate's degree",44,5,8,4.5
2047,22,Female,"Some college credit,  or Associate's degree",48,4,8,4.25
755,28,Male,"Some college credit,  or Associate's degree",63,8,8,5
1592,22,Male,"High school graduate, diploma or the equivalent (for example: GED)",64,4,8,3.25
244,24,Female,Bachelorês degree,69,7,8,4.875
2017,52,Male,"Some college credit,  or Associate's degree",62,7,8,4.875
1481,22,Male,"Some college credit,  or Associate's degree",62,8,8,5
896,33,Male,"Some high school, no diploma",65,4,8,4
2370,29,Female,Bachelorês degree,63,4,8,4
578,29,Male,"Some college credit,  or Associate's degree",57,5,8,4.25
1431,25,Male,Bachelorês degree,62,2,8,3
1607,28,Female,"Some college credit,  or Associate's degree",60,5,7,4
186,33,Male,Master's degree,59,0,8,3.875
1553,22,Female,"High school graduate, diploma or the equivalent (for example: GED)",37,2,7,2.75
1630,35,Female,"Some college credit,  or Associate's degree",63,8,8,5
606,61,Male,Bachelorês degree,53,4,8,3.75
283,27,Male,Master's degree,63,5,7,4
1210,33,Male,"Some college credit,  or Associate's degree",69,6,8,4.75
1358,23,Male,Bachelorês degree,58,5,8,4.375
808,23,Male,Bachelorês degree,40,0,7,2.625
2401,33,Male,"Some college credit,  or Associate's degree",59,4,8,3.5
1909,53,Female,Bachelorês degree,64,3,7,3.625
1860,35,Male,"Some college credit,  or Associate's degree",65,8,8,5
2319,20,Female,"High school graduate, diploma or the equivalent (for example: GED)",47,5,8,3.75
664,32,Female,"Some college credit,  or Associate's degree",62,7,8,4.5
871,33,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",60,3,8,3.75
1320,47,Female,"Some college credit,  or Associate's degree",53,2,8,3.5
1241,26,Female,"Some college credit,  or Associate's degree",63,6,7,4
2213,28,Male,Bachelorês degree,70,7,8,4.875
786,59,Female,"Some college credit,  or Associate's degree",66,6,8,4.625
1953,40,Female,Bachelorês degree,70,8,8,5
868,46,Male,"Some college credit,  or Associate's degree",68,3,8,4
43,55,Female,"Some college credit,  or Associate's degree",60,1,8,3.625
1179,23,Male,"Some college credit,  or Associate's degree",65,2,8,3.125
1898,25,Male,Bachelorês degree,56,6,8,4.75
1016,27,Female,Bachelorês degree,46,6,7,4.25
1718,21,Female,"Some college credit,  or Associate's degree",67,8,8,5
1716,25,Female,Bachelorês degree,40,1,8,3.5
690,48,Female,"Some college credit,  or Associate's degree",57,6,8,4.75
1657,30,Male,Bachelorês degree,68,4,8,4.375
108,28,Male,Bachelorês degree,49,4,8,4.375
1055,47,Male,"Some college credit,  or Associate's degree",70,8,8,5
1747,24,Male,"Some college credit,  or Associate's degree",68,5,7,4.125
2382,44,Female,Bachelorês degree,64,4,8,3.625
623,42,Female,"Some college credit,  or Associate's degree",68,5,8,4.125
2219,30,Male,"Some college credit,  or Associate's degree",64,3,8,4.25
1069,41,Female,Bachelorês degree,51,5,8,4.625
188,62,Female,Bachelorês degree,68,5,8,4.25
1018,61,Male,"Some college credit,  or Associate's degree",64,4,8,4.25
1408,29,Male,Bachelorês degree,64,4,7,3.375
655,66,Male,"Some college credit,  or Associate's degree",64,7,8,4.75
636,24,Male,"Some college credit,  or Associate's degree",69,3,8,4
279,31,Male,"High school graduate, diploma or the equivalent (for example: GED)",59,5,8,4.5
1457,24,Male,Bachelorês degree,57,5,8,4.5
1319,39,Male,"Some college credit,  or Associate's degree",62,4,8,4
752,22,Male,"Some college credit,  or Associate's degree",55,3,8,4.125
881,41,Male,,70,6,8,4
56,23,Female,"High school graduate, diploma or the equivalent (for example: GED)",61,5,8,3.75
960,19,Male,"High school graduate, diploma or the equivalent (for example: GED)",52,2,8,3.5
496,32,Male,Bachelorês degree,58,4,8,4.375
195,28,Male,Bachelorês degree,68,4,8,3.875
2016,20,Female,"Some college credit,  or Associate's degree",40,2,8,3.25
2257,30,Male,Bachelorês degree,55,5,8,4.25
826,32,Female,Bachelorês degree,58,5,7,4.125
1596,24,Female,"Some college credit,  or Associate's degree",56,5,8,4.25
1472,29,Male,Bachelorês degree,59,3,8,3
1274,32,Male,"High school graduate, diploma or the equivalent (for example: GED)",50,4,8,3.875
1872,29,Female,"Some college credit,  or Associate's degree",70,7,8,4.75
692,36,Female,"High school graduate, diploma or the equivalent (for example: GED)",70,4,8,3.75
1083,24,Male,Bachelorês degree,33,0,8,2.375
2146,29,Female,Bachelorês degree,70,8,8,5
1849,17,Male,"Some high school, no diploma",57,4,8,3.875
994,28,Male,"High school graduate, diploma or the equivalent (for example: GED)",59,6,8,4.125
357,33,Male,"Some college credit,  or Associate's degree",52,8,8,5
1380,25,Male,"Some college credit,  or Associate's degree",61,5,8,4.25
1663,32,,"Some college credit,  or Associate's degree",67,6,8,4.375
2172,26,Female,Bachelorês degree,53,1,8,3.25
1662,27,Male,"Some college credit,  or Associate's degree",66,2,8,2.875
811,32,Male,Bachelorês degree,70,8,8,5
1187,35,Female,"Some college credit,  or Associate's degree",61,3,6,3.375
2076,23,Male,"Some college credit,  or Associate's degree",57,4,8,4.375
1626,25,Male,"Some college credit,  or Associate's degree",43,1,8,3.125
400,23,Male,Bachelorês degree,64,5,8,4
2223,27,Female,"High school graduate, diploma or the equivalent (for example: GED)",64,5,8,4.25
1786,24,Male,Bachelorês degree,57,7,8,4.75
599,23,Male,"High school graduate, diploma or the equivalent (for example: GED)",58,1,8,3.5
2132,28,Male,"Some college credit,  or Associate's degree",62,3,8,4.375
930,30,Male,"Doctorate or professional degree (Ph.D., J.D., M.D., etc.)",65,6,8,4.375
1618,34,Male,"Some college credit,  or Associate's degree",67,6,8,4.75
2168,41,Male,Bachelorês degree,68,4,8,4
839,25,Female,Bachelorês degree,70,5,8,3.875
848,29,Male,Bachelorês degree,57,4,8,3.75
2103,33,Female,Bachelorês degree,68,4,8,4.125
765,26,Male,Bachelorês degree,65,7,8,4.5
1844,49,Male,Master's degree,60,6,8,4.375
